iter	Passed	Remaining
296	845	2001
297	853	2011
298	856	2008
299	858	2003
300	861	2000
301	872	2017
302	874	2012
303	875	2004
304	876	1996
305	878	1991
306	885	1998
307	887	1992
308	888	1986
309	889	1979
310	890	1973
311	892	1967
312	892	1959
313	894	1953
314	901	1959
315	902	1952
316	903	1946
317	905	1940
318	906	1935
319	907	1929
320	909	1924
321	920	1937
322	921	1931
323	922	1925
324	924	1919
325	925	1914
326	932	1919
327	937	1919
328	938	1914
329	940	1908
330	941	1903
331	948	1909
332	950	1903
333	951	1897
334	953	1892
335	954	1886
336	955	1880
337	957	1875
338	965	1881
339	967	1878
340	970	1874
341	973	1873
342	981	1879
343	982	1874
344	984	1869
345	986	1864
346	988	1860
347	995	1864
348	997	1860
349	999	1856
350	1001	1851
351	1001	1844
352	1003	1839
353	1005	1835
354	1007	1831
355	1009	1826
356	1010	1820
357	1012	1815
358	1013	1809
359	1021	1815
360	1025	1815
361	1027	1810
362	1028	1805
363	1030	1800
364	1037	1805
365	1039	1799
366	1040	1794
367	1041	1789
368	1043	1784
369	1044	1779
370	1046	1773
371	1053	1777
372	1054	1772
373	1056	1767
374	1057	1762
375	1060	1760
376	1062	1756
377	1070	1761
378	1072	1757
379	1075	1754
380	1090	1771
381	1092	1767
382	1094	1763
383	1102	1769
384	1104	1764
385	1106	1760
386	1109	1757
387	1117	1763
388	1119	1759
389	1121	1754
390	1123	1750
391	1125	1746
392	1137	1757
393	1140	1754
394	1156	1770
395	1158	1766
396	1167	1772
397	1169	1768
398	1171	1764
399	1173	1760
400	1175	1756
401	1183	1760
402	1185	1756
403	1187	1752
404	1190	1748
405	1199	1754
406	1201	1750
407	1203	1746
408	1224	1768
409	1239	1784
410	1247	1788
411	1249	1782
412	1250	1777
413	1251	1772
414	1254	1768
415	1257	1764
416	1264	1768
417	1266	1763
418	1269	1760
419	1271	1756
420	1278	1758
421	1280	1754
422	1282	1749
423	1284	1744
424	1285	1739
425	1287	1734
426	1288	1729
427	1295	1731
428	1296	1726
429	1298	1721
430	1299	1716
431	1301	1711
432	1302	1705
433	1304	1700
434	1310	1702
435	1312	1697
436	1313	1692
437	1315	1687
438	1317	1683
439	1330	1693
440	1333	1689
441	1334	1684
442	1336	1679
443	1342	1681
444	1344	1676
445	1345	1671
446	1347	1666
447	1348	1662
448	1350	1657
449	1351	1652
450	1358	1653
451	1360	1648
452	1361	1644
453	1363	1639
454	1364	1634
455	1365	1629
456	1367	1624
457	1368	1619
458	1376	1622
459	1377	1617
460	1379	1613
461	1381	1609
462	1383	1604
463	1390	1605
464	1392	1602
465	1394	1597
466	1395	1593
467	1397	1588
468	1398	1583
469	1400	1578
470	1406	1580
471	1408	1575
472	1409	1570
473	1411	1565
474	1412	1561
475	1414	1556
476	1415	1552
477	1422	1553
478	1424	1548
479	1425	1544
480	1426	1539
481	1428	1535
482	1429	1530
483	1431	1525
484	1437	1526
485	1439	1522
486	1443	1520
487	1445	1516
488	1446	1511
489	1453	1512
490	1454	1508
491	1456	1503
492	1457	1499
493	1459	1494
494	1460	1490
495	1462	1485
496	1463	1481
497	1470	1482
498	1476	1482
499	1477	1477
500	1479	1473
501	1486	1474
502	1488	1470
503	1489	1465
504	1490	1461
505	1492	1457
506	1494	1452
507	1495	1448
508	1502	1449
509	1503	1444
510	1505	1440
511	1506	1436
512	1508	1431
513	1509	1427
514	1511	1423
515	1518	1424
516	1520	1420
517	1521	1415
518	1522	1411
519	1524	1407
520	1526	1403
521	1527	1398
522	1537	1401
523	1539	1398
524	1540	1394
525	1542	1389
526	1548	1389
527	1550	1386
528	1552	1382
529	1553	1377
530	1555	1373
531	1556	1369
532	1558	1365
533	1559	1360
534	1566	1361
535	1568	1357
536	1569	1353
537	1571	1349
538	1572	1345
539	1574	1340
540	1575	1336
541	1582	1337
542	1584	1333
543	1585	1329
544	1587	1324
545	1588	1320
546	1589	1316
547	1591	1312
548	1599	1314
549	1603	1312
550	1605	1308
551	1606	1304
552	1613	1304
553	1615	1300
554	1616	1296
555	1618	1292
556	1619	1288
557	1621	1284
558	1622	1280
559	1630	1280
560	1631	1276
561	1633	1272
562	1634	1268
563	1635	1264
564	1637	1260
565	1638	1256
566	1646	1257
567	1650	1255
568	1652	1251
569	1653	1247
570	1654	1243
571	1662	1243
572	1663	1239
573	1664	1235
574	1666	1231
575	1667	1227
576	1669	1223
577	1670	1219
578	1678	1220
579	1679	1216
580	1681	1212
581	1682	1208
582	1683	1204
583	1685	1200
584	1686	1196
585	1694	1196
586	1695	1192
587	1696	1189
588	1698	1185
589	1699	1181
590	1701	1177
591	1702	1173
592	1709	1173
593	1711	1169
594	1712	1165
595	1714	1161
596	1715	1158
597	1717	1154
598	1718	1150
599	1725	1150
600	1727	1146
601	1728	1142
602	1730	1139
603	1733	1136
604	1734	1132
605	1741	1132
606	1746	1131
607	1751	1129
608	1753	1126
609	1755	1122
610	1756	1118
611	1758	1114
612	1759	1110
613	1761	1107
614	1762	1103
615	1769	1102
616	1770	1099
617	1772	1095
618	1773	1091
619	1775	1088
620	1776	1084
621	1778	1080
622	1785	1080
623	1786	1076
624	1788	1072
625	1789	1069
626	1791	1065
627	1792	1061
628	1793	1058
629	1800	1057
630	1802	1054
631	1804	1050
632	1806	1047
633	1808	1044
634	1816	1044
635	1818	1040
636	1819	1036
637	1820	1033
638	1822	1029
639	1823	1025
640	1825	1022
641	1832	1021
642	1834	1018
643	1835	1014
644	1836	1010
645	1838	1007
646	1839	1003
647	1841	1000
648	1848	999
649	1854	998
650	1856	995
651	1865	995
652	1867	992
653	1868	988
654	1869	984
655	1871	981
656	1872	977
657	1880	977
658	1881	973
659	1883	970
660	1884	966
661	1885	962
662	1887	959
663	1888	955
664	1896	955
665	1900	953
666	1902	949
667	1903	946
668	1910	945
669	1912	942
670	1914	938
671	1915	935
672	1917	931
673	1918	928
674	1920	924
675	1926	923
676	1928	919
677	1929	916
678	1931	912
679	1932	909
680	1934	906
681	1936	902
682	1942	901
683	1946	899
684	1948	896
685	1950	892
686	1952	889
687	1958	888
688	1960	884
689	1961	881
690	1963	877
691	1964	874
692	1966	871
693	1967	867
694	1974	866
695	1976	863
696	1977	859
697	1979	856
698	1980	852
699	1981	849
700	1983	845
701	1984	842
702	1992	841
703	1994	838
704	1995	835
705	1997	831
706	1998	828
707	1999	824
708	2006	823
709	2008	820
710	2009	816
711	2011	813
712	2012	810
713	2014	806
714	2015	803
715	2021	801
716	2023	798
717	2026	795
718	2030	793
719	2032	790
720	2040	789
721	2041	786
722	2043	782
723	2044	779
724	2046	776
725	2047	772
726	2054	771
727	2059	769
728	2060	766
729	2062	762
730	2063	759
731	2070	758
732	2072	754
733	2073	751
734	2075	748
735	2076	744
736	2077	741
737	2079	738
738	2080	734
739	2082	731
740	2084	728
741	2085	725
742	2087	721
743	2088	718
744	2090	715
745	2091	712
746	2099	710
747	2100	707
748	2101	704
749	2103	701
750	2104	697
751	2106	694
752	2107	691
753	2114	689
754	2116	686
755	2117	683
756	2119	680
757	2120	676
758	2121	673
759	2123	670
760	2130	669
761	2132	665
762	2133	662
763	2134	659
764	2136	656
765	2137	653
766	2139	650
767	2144	647
768	2145	644
769	2147	641
770	2148	638
771	2150	635
772	2157	633
773	2158	630
774	2159	627
775	2161	623
776	2163	620
777	2173	620
778	2175	617
779	2177	614
780	2178	610
781	2180	607
782	2181	604
783	2188	602
784	2189	599
785	2191	596
786	2193	593
787	2195	590
788	2196	587
789	2197	584
790	2200	581
791	2201	578
792	2203	575
793	2204	572
794	2206	568
795	2207	565
796	2214	564
797	2216	561
798	2219	558
799	2220	555
800	2222	552
801	2224	549
802	2232	547
803	2234	544
804	2235	541
805	2237	538
806	2238	535
807	2239	532
808	2246	530
809	2248	527
810	2252	524
811	2254	521
812	2255	518
813	2262	516
814	2264	513
815	2265	510
816	2267	507
817	2268	504
818	2269	501
819	2271	498
820	2272	495
821	2279	493
822	2281	490
823	2282	487
824	2284	484
825	2285	481
826	2287	478
827	2288	475
828	2295	473
829	2296	470
830	2298	467
831	2299	464
832	2301	461
833	2302	458
834	2304	455
835	2311	453
836	2314	450
837	2317	447
838	2318	445
839	2327	443
840	2329	440
841	2330	437
842	2331	434
843	2333	431
844	2334	428
845	2341	426
846	2345	423
847	2347	420
848	2349	417
849	2350	414
850	2357	412
851	2359	409
852	2360	406
853	2362	403
854	2363	400
855	2365	397
856	2367	395
857	2375	393
858	2376	390
859	2378	387
860	2379	384
861	2381	381
862	2382	378
863	2389	376
864	2391	373
865	2392	370
866	2394	367
867	2395	364
868	2397	361
869	2398	358
870	2404	356
871	2406	353
872	2408	350
873	2409	347
874	2411	344
875	2412	341
876	2414	338
877	2415	335
878	2417	332
879	2419	329
880	2421	327
881	2422	324
882	2423	321
883	2425	318
884	2426	315
885	2434	313
886	2438	310
887	2440	307
888	2441	304
889	2448	302
890	2450	299
891	2452	296
892	2455	294
893	2457	291
894	2464	289
895	2466	286
896	2467	283
897	2469	280
898	2470	277
899	2471	274
900	2473	271
901	2475	268
902	2476	266
903	2477	263
904	2479	260
905	2480	257
906	2482	254
907	2483	251
908	2490	249
909	2492	246
910	2493	243
911	2495	240
912	2496	237
913	2498	235
914	2499	232
915	2506	229
916	2508	227
917	2509	224
918	2510	221
919	2512	218
920	2513	215
921	2515	212
922	2522	210
923	2524	207
924	2525	204
925	2527	201
926	2528	199
927	2530	196
928	2531	193
929	2538	191
930	2542	188
931	2544	185
932	2545	182
933	2547	180
934	2554	177
935	2556	174
936	2557	171
937	2559	169
938	2560	166
939	2561	163
940	2563	160
941	2570	158
942	2572	155
943	2573	152
944	2575	149
945	2576	147
946	2577	144
947	2579	141
948	2589	139
949	2591	136
950	2593	133
951	2595	130
952	2604	128
953	2605	125
954	2607	122
955	2608	120
956	2609	117
957	2611	114
958	2618	111
959	2619	109
960	2621	106
961	2622	103
962	2624	100
963	2625	98
964	2627	95
965	2634	92
966	2638	90
967	2640	87
968	2642	84
969	2643	81
970	2650	79
971	2651	76
972	2653	73
973	2654	70
974	2657	68
975	2658	65
976	2664	62
977	2667	59
978	2668	57
979	2670	54
980	2671	51
981	2673	48
982	2674	46
983	2681	43
984	2683	40
985	2684	38
986	2686	35
987	2687	32
988	2688	29
989	2690	27
990	2696	24
991	2698	21
992	2699	19
993	2701	16
994	2702	13
995	2704	10
996	2705	8
997	2707	5
998	2714	2
999	2715	0
